Driver_ID,MMM-YY,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating,target_label
1,03/01/19,28.0,0.0,C23,2,57387,24/12/18,03/11/19,1,1,1715580,2,1
2,12/01/20,31.0,0.0,C7,2,67016,11/06/20,,2,2,0,1,0
4,04/01/20,43.0,0.0,C13,2,65603,12/07/19,27/04/20,2,2,350000,1,1
5,03/01/19,29.0,0.0,C9,0,46368,01/09/19,03/07/19,1,1,120360,1,1
6,12/01/20,31.0,1.0,C11,1,78728,31/07/20,,3,3,1265000,2,0
8,11/01/20,34.0,0.0,C2,0,70656,19/09/20,15/11/20,3,3,0,1,1
11,12/01/20,28.0,1.0,C19,2,42172,12/07/20,,1,1,0,1,0
12,12/01/19,35.0,0.0,C23,2,28116,29/06/19,21/12/19,1,1,2607180,1,1
13,11/01/20,31.0,0.0,C19,2,119227,28/05/15,25/11/20,1,4,10213040,1,1
14,12/01/20,39.0,1.0,C26,0,19734,16/10/20,,3,3,0,1,0
16,02/01/19,30.0,1.0,C23,0,52963,30/11/18,22/02/19,2,2,346800,1,1
17,07/01/19,43.0,0.0,C20,2,51099,03/06/18,20/07/19,1,1,1017640,1,1
18,05/01/19,27.0,1.0,C17,1,31631,01/09/19,30/04/19,1,1,0,1,1
20,03/01/20,26.0,1.0,C19,0,40342,25/10/19,03/01/20,3,3,0,1,1
21,02/01/20,34.0,1.0,C29,1,22755,05/12/18,17/02/20,1,1,6962550,1,1
22,04/01/20,41.0,0.0,C10,2,31224,25/05/18,26/04/20,1,1,7539490,1,1
24,10/01/19,31.0,0.0,C24,2,76308,25/05/18,27/10/19,1,2,4101720,2,1
25,12/01/20,31.0,0.0,C24,1,102077,30/10/17,,1,3,36351110,4,0
26,12/01/20,43.0,0.0,C14,2,132577,05/07/18,,1,4,69867900,2,0
29,05/01/19,30.0,0.0,C13,2,30312,20/05/18,23/05/19,1,1,1273170,1,1
30,12/01/19,31.0,0.0,C6,1,69457,10/03/19,29/11/19,3,3,0,1,1
31,12/01/20,32.0,1.0,C28,2,65189,07/04/20,,3,3,950940,2,0
34,11/01/20,28.0,1.0,C14,1,65813,31/07/20,14/11/20,2,2,476010,1,1
35,05/01/20,32.0,0.0,C5,1,68070,03/07/20,05/05/20,3,3,300000,1,1
36,08/01/20,41.0,1.0,C18,1,32865,07/01/19,29/07/20,2,2,4277730,2,1
37,10/01/20,33.0,1.0,C14,1,57375,16/05/20,16/10/20,2,2,650020,1,1
38,03/01/20,22.0,0.0,C27,0,13427,12/06/19,15/03/20,1,1,0,1,1
39,12/01/20,32.0,0.0,C26,0,72888,08/08/20,,2,2,2422230,2,0
40,02/01/20,32.0,0.0,C15,0,59182,11/08/19,14/02/20,2,2,0,1,1
41,12/01/20,35.0,0.0,C29,2,92372,07/04/19,,4,4,21755910,2,0
42,05/01/19,44.0,1.0,C28,0,45988,20/10/18,16/05/19,2,2,994690,1,1
43,02/01/19,27.0,1.0,C15,0,12906,13/07/18,20/02/19,1,1,359890,1,1
44,11/01/20,28.0,0.0,C17,2,62100,25/09/20,24/11/20,1,1,150110,1,1
45,12/01/20,35.0,0.0,C8,2,77544,29/05/20,,3,3,5227340,3,0
46,03/01/19,36.0,1.0,C25,2,42171,28/10/18,27/02/19,1,1,338290,1,1
47,12/01/20,30.0,0.0,C21,1,28000,10/09/20,,1,1,866270,2,0
49,01/01/20,22.0,0.0,C20,0,53039,25/05/18,21/01/20,1,2,1798800,1,1
50,02/01/19,49.0,1.0,C5,0,89367,20/11/18,20/02/19,3,3,110310,1,1
51,12/01/19,34.0,0.0,C14,0,131347,22/05/17,23/12/19,4,4,3190010,2,1
52,12/01/20,37.0,0.0,C19,0,48687,28/06/20,,3,3,1852590,2,0
54,12/01/20,35.0,0.0,C29,1,127826,07/11/19,,4,5,33823290,1,0
55,03/01/20,30.0,1.0,C8,0,29985,21/11/19,15/03/20,1,1,0,1,1
56,12/01/20,36.0,1.0,C19,2,80223,20/07/18,,1,1,11723470,4,0
57,07/01/20,38.0,1.0,C1,1,84318,26/07/17,21/07/20,1,2,22791310,1,1
58,01/01/19,41.0,0.0,C4,0,57987,15/10/18,25/01/19,2,2,0,1,1
59,03/01/19,35.0,1.0,C18,1,31644,01/06/19,28/03/19,1,1,134660,1,1
60,12/01/20,48.0,1.0,C20,0,89592,17/09/16,,1,4,49225520,2,0
61,03/01/19,32.0,0.0,C11,2,19818,05/04/18,17/03/19,1,1,-439300,1,1
62,12/01/20,27.0,0.0,C9,2,62376,28/11/20,,1,1,0,1,0
63,12/01/20,28.0,0.0,C6,0,93931,30/04/16,,1,3,12293120,2,0
64,06/01/20,33.0,0.0,C27,2,66502,31/01/20,19/06/20,2,2,193940,1,1
65,06/01/20,30.0,1.0,C7,1,69539,31/07/18,16/06/20,2,2,11718580,2,1
66,02/01/20,27.0,1.0,C4,2,104286,21/01/20,,3,3,0,1,0
67,12/01/20,41.0,0.0,C28,2,65982,01/04/19,,1,2,12543500,3,0
68,12/01/20,32.0,0.0,C29,0,79288,18/10/15,,1,3,27309820,3,0
69,09/01/20,32.0,1.0,C7,1,64604,14/11/19,09/12/20,2,2,4640080,1,1
70,01/01/19,35.0,0.0,C20,1,19235,10/08/18,29/01/19,1,1,0,1,1
71,02/01/19,43.0,0.0,C20,2,54103,25/05/18,15/02/19,3,3,188780,1,1
72,12/01/20,28.0,0.0,C14,2,42242,18/10/20,,2,2,193580,1,0
74,10/01/20,35.0,1.0,C5,2,59216,05/01/20,24/10/20,2,2,592270,1,1
75,12/01/20,25.0,1.0,C18,2,39884,21/07/20,13/12/20,2,2,2365930,2,1
77,12/01/20,34.0,0.0,C3,2,63918,18/05/18,,1,2,17959920,3,0
78,12/01/20,37.0,0.0,C21,0,105946,16/09/18,,2,4,43531510,2,0
79,08/01/19,32.0,0.0,C14,1,114648,07/09/19,08/09/19,4,4,0,1,1
80,12/01/20,29.0,1.0,C7,0,56687,10/02/20,,2,2,153300,1,0
81,10/01/19,39.0,0.0,C9,2,77177,06/12/18,10/04/19,1,2,3133680,1,1
82,08/01/20,37.0,1.0,C24,1,89013,04/11/20,29/07/20,3,3,0,1,1
83,06/01/20,34.0,0.0,C23,2,115159,29/08/19,06/07/20,3,3,750000,1,1
84,09/01/20,42.0,0.0,C16,0,25950,07/04/19,09/04/20,1,1,8688020,2,1
85,12/01/20,25.0,0.0,C22,2,49509,28/09/20,,1,1,0,1,0
86,01/01/19,35.0,0.0,C2,2,49510,28/05/18,27/01/19,1,1,0,1,1
87,12/01/20,37.0,0.0,C6,1,119341,31/08/19,,3,3,36029220,4,0
88,06/01/19,45.0,1.0,C3,0,62298,01/06/18,06/03/19,2,2,3248870,1,1
89,08/01/20,28.0,0.0,C2,1,58977,30/05/19,29/07/20,2,2,6131430,1,1
90,03/01/20,33.0,0.0,C22,0,29408,11/11/19,03/10/20,2,2,543640,1,1
91,12/01/19,31.0,0.0,C21,0,22731,08/03/19,15/12/19,2,2,200000,1,1
93,02/01/19,30.0,0.0,C17,2,39527,14/07/18,02/03/19,2,2,1220120,2,1
95,03/01/20,29.0,1.0,C14,2,60874,30/01/20,03/09/20,3,3,0,1,1
